Timestamp,GPU_Util(%),GPU_Mem_Util(%),GPU_Mem_Used(MB),GPU_Mem_Total(MB),CPU_Usage(%),Mem_Usage(%),Mem_Used(MB),Mem_Total(MB)
Timestamp: 2025-04-01 19:38:09, 
GPU Util: 77.0, 
GPU Mem Util: 71.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.3, 
Mem Usage: 18.0, 
Mem Used: 2091.09, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:38:24, 
GPU Util: 88.0, 
GPU Mem Util: 80.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.5, 
Mem Usage: 18.3, 
Mem Used: 2131.27, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:38:39, 
GPU Util: 84.0, 
GPU Mem Util: 59.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.1, 
Mem Usage: 19.7, 
Mem Used: 2351.71, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:38:54, 
GPU Util: 72.0, 
GPU Mem Util: 45.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 67.5, 
Mem Usage: 17.3, 
Mem Used: 2181.38, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:39:09, 
GPU Util: 82.0, 
GPU Mem Util: 71.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 70.3, 
Mem Usage: 17.8, 
Mem Used: 2065.18, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:39:24, 
GPU Util: 94.0, 
GPU Mem Util: 73.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.1, 
Mem Usage: 18.4, 
Mem Used: 2155.98, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:39:39, 
GPU Util: 87.0, 
GPU Mem Util: 79.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.7, 
Mem Usage: 16.6, 
Mem Used: 1866.92, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:39:54, 
GPU Util: 77.0, 
GPU Mem Util: 62.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.5, 
Mem Usage: 18.1, 
Mem Used: 2110.95, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:40:10, 
GPU Util: 57.0, 
GPU Mem Util: 46.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.0, 
Mem Usage: 17.5, 
Mem Used: 2106.71, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:40:25, 
GPU Util: 100.0, 
GPU Mem Util: 86.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.2, 
Mem Usage: 18.3, 
Mem Used: 2145.24, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:40:40, 
GPU Util: 82.0, 
GPU Mem Util: 75.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.8, 
Mem Usage: 18.6, 
Mem Used: 2191.68, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:40:55, 
GPU Util: 93.0, 
GPU Mem Util: 85.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.8, 
Mem Usage: 18.7, 
Mem Used: 2208.34, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:41:10, 
GPU Util: 73.0, 
GPU Mem Util: 48.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.4, 
Mem Usage: 17.8, 
Mem Used: 2011.34, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:41:25, 
GPU Util: 82.0, 
GPU Mem Util: 59.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.8, 
Mem Usage: 18.8, 
Mem Used: 2224.73, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:41:40, 
GPU Util: 100.0, 
GPU Mem Util: 86.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.9, 
Mem Usage: 19.1, 
Mem Used: 2173.59, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:41:55, 
GPU Util: 85.0, 
GPU Mem Util: 59.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 66.5, 
Mem Usage: 16.3, 
Mem Used: 2106.42, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:42:10, 
GPU Util: 72.0, 
GPU Mem Util: 51.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 71.8, 
Mem Usage: 18.4, 
Mem Used: 2089.72, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:42:25, 
GPU Util: 81.0, 
GPU Mem Util: 75.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.1, 
Mem Usage: 16.3, 
Mem Used: 1815.70, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:42:40, 
GPU Util: 75.0, 
GPU Mem Util: 51.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 69.0, 
Mem Usage: 18.5, 
Mem Used: 2137.75, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:42:55, 
GPU Util: 81.0, 
GPU Mem Util: 72.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 68.9, 
Mem Usage: 19.2, 
Mem Used: 2274.41, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:43:10, 
GPU Util: 71.0, 
GPU Mem Util: 44.0, 
GPU Mem Used: 3365.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 67.5, 
Mem Usage: 14.9, 
Mem Used: 1827.77, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:43:25, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 7.1, 
Mem Usage: 5.8, 
Mem Used: 626.41, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:43:40, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.1, 
Mem Usage: 4.4, 
Mem Used: 407.20, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:43:55, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.0, 
Mem Usage: 4.2, 
Mem Used: 376.84, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:44:10, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.1, 
Mem Usage: 4.2, 
Mem Used: 370.36, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:44:25, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.1, 
Mem Usage: 4.2, 
Mem Used: 368.84, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:44:40, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.0, 
Mem Usage: 4.2, 
Mem Used: 368.36, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:44:55, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.1, 
Mem Usage: 4.2, 
Mem Used: 376.12, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:45:10, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.1, 
Mem Usage: 4.2, 
Mem Used: 375.40, 
Mem Total: 15788.21 

Timestamp: 2025-04-01 19:45:25, 
GPU Util: 0.0, 
GPU Mem Util: 0.0, 
GPU Mem Used: 1.0, 
GPU Mem Total: 15360.0, 
CPU Usage: 0.4, 
Mem Usage: 4.2, 
Mem Used: 375.01, 
Mem Total: 15788.21 

